Deck,Card,Picture,id
Nilfgaard,Albrich,https://vignette.wikia.nocookie.net/witcher/images/e/ec/Tw3_gwent_card_face_Albrich.png/revision/latest?cb=20160630124150,gwint_card_albrich
Monsters,Arachas (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/2/2d/Tw3_gwent_card_face_Arachas_1.png/revision/latest?cb=20160417100445,gwint_card_arachas
Monsters,Arachas (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/4/4c/Tw3_gwent_card_face_Arachas_3.png/revision/latest?cb=20160417100526,gwint_card_arachas1
Monsters,Arachas (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/8/8a/Tw3_gwent_card_face_Arachas_2.png/revision/latest?cb=20160417100526,gwint_card_arachas2
Monsters,Arachas Behemoth,https://vignette.wikia.nocookie.net/witcher/images/8/8e/Tw3_gwent_card_face_Arachas_Behemoth.png/revision/latest?cb=20160417101206,gwint_card_arachas_behemoth
Nilfgaard,Assire var Anahid,https://vignette.wikia.nocookie.net/witcher/images/1/19/Tw3_gwent_card_face_Assire_var_Anahid.png/revision/latest?cb=20160630124237,gwint_card_assire
Northern Realms,Ballista (1 of 2),https://vignette.wikia.nocookie.net/witcher/images/f/fd/Tw3_gwent_card_face_Ballista.png/revision/latest?cb=20160320084005,gwint_card_ballista
Northern Realms,Ballista (2 of 2),https://vignette.wikia.nocookie.net/witcher/images/0/02/Tw3_gwent_card_face_Ballista_2.png/revision/latest?cb=20180510193555,gwint_card_ballista2
Scoia'tael,Barclay Els,https://vignette.wikia.nocookie.net/witcher/images/9/9c/Tw3_gwent_card_face_Barclay_Els.png/revision/latest?cb=20160624125754,gwint_card_barclay
Neutral,Biting Frost,https://vignette.wikia.nocookie.net/witcher/images/2/2b/Tw3_gwent_card_face_Biting_Frost.png/revision/latest?cb=20151026174359,gwint_card_frost
Nilfgaard,Black Infantry Archer (1 of 2),https://vignette.wikia.nocookie.net/witcher/images/a/aa/Tw3_gwent_card_face_Black_Infantry_Archer_2.png/revision/latest?cb=20160630124501,gwint_card_black_archer
Nilfgaard,Black Infantry Archer (2 of 2),https://vignette.wikia.nocookie.net/witcher/images/8/8b/Tw3_gwent_card_face_Black_Infantry_Archer_1.png/revision/latest?cb=20160630124429,gwint_card_black_archer2
Northern Realms,Blue Stripes Commando (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/e/ee/Tw3_gwent_card_face_Blue_Stripes_Commando_1.png/revision/latest?cb=20160320084516,gwint_card_blue_stripes
Northern Realms,Blue Stripes Commando (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/e/ee/Tw3_gwent_card_face_Blue_Stripes_Commando_1.png/revision/latest?cb=20160320084516,gwint_card_blue_stripes
Northern Realms,Blue Stripes Commando (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/e/ee/Tw3_gwent_card_face_Blue_Stripes_Commando_1.png/revision/latest?cb=20160320084516,gwint_card_blue_stripes
Monsters,Botchling,https://vignette.wikia.nocookie.net/witcher/images/6/6c/Tw3_gwent_card_face_Botchling.png/revision/latest?cb=20160425152408,gwint_card_botchling
Nilfgaard,Cahir Mawr Dyffryn aep Ceallach,https://vignette.wikia.nocookie.net/witcher/images/1/1f/Tw3_gwent_card_face_Cahir_Mawr_Dyffryn_aep_Ceallach.png/revision/latest?cb=20160630124559,gwint_card_cahir
Northern Realms,Catapult (1 of 2),https://vignette.wikia.nocookie.net/witcher/images/8/84/Tw3_gwent_card_face_Catapult_1.png/revision/latest?cb=20160320085320,gwint_card_catapult
Northern Realms,Catapult (2 of 2),https://vignette.wikia.nocookie.net/witcher/images/8/84/Tw3_gwent_card_face_Catapult_1.png/revision/latest?cb=20160320085320,gwint_card_catapult2
Monsters,Celaeno Harpy,https://vignette.wikia.nocookie.net/witcher/images/1/16/Tw3_gwent_card_face_Celaeno_Harpy.png/revision/latest?cb=20160425153153,gwint_card_celaeno_harpy
Scoia'tael,Ciaran aep Easnillien,https://vignette.wikia.nocookie.net/witcher/images/5/51/Tw3_gwent_card_face_Ciaran_aep_Easnillien.png/revision/latest?cb=20160624125812,gwint_card_ciaran
Neutral,Cirilla Fiona Elen Riannon,https://vignette.wikia.nocookie.net/witcher/images/f/fb/Tw3_gwent_card_face_Cirilla.png/revision/latest?cb=20151026175733,gwint_card_ciri
Neutral,Clear Weather,https://vignette.wikia.nocookie.net/witcher/images/0/07/Tw3_gwent_card_face_Clear_Weather.png/revision/latest?cb=20151026181027,gwint_card_clear_sky
Monsters,Cockatrice,https://vignette.wikia.nocookie.net/witcher/images/c/c9/Tw3_gwent_card_face_Cockatrice.png/revision/latest?cb=20160425153836,gwint_card_cockatrice
Neutral,Commander's Horn,https://vignette.wikia.nocookie.net/witcher/images/3/33/Tw3_gwent_card_face_Commanders_Horn.png/revision/latest?cb=20151026180403,gwint_card_horn
Northern Realms,Crinfrid Reavers Dragon Hunter (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/7/7c/Tw3_gwent_card_face_Crinfrid_Reavers_Dragon_Hunter.png/revision/latest?cb=20160320085705,gwint_card_crinfrid
Northern Realms,Crinfrid Reavers Dragon Hunter (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/7/7c/Tw3_gwent_card_face_Crinfrid_Reavers_Dragon_Hunter.png/revision/latest?cb=20160320085705,gwint_card_crinfrid2
Northern Realms,Crinfrid Reavers Dragon Hunter (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/7/7c/Tw3_gwent_card_face_Crinfrid_Reavers_Dragon_Hunter.png/revision/latest?cb=20160320085705,gwint_card_crinfrid3
Monsters,Crone: Brewess,https://vignette.wikia.nocookie.net/witcher/images/a/ad/Tw3_gwent_card_face_Crone_Brewess.png/revision/latest?cb=20160425163324,gwint_card_crone_brewess
Monsters,Crone: Weavess,https://vignette.wikia.nocookie.net/witcher/images/2/29/Tw3_gwent_card_face_Crone_Weavess.png/revision/latest?cb=20160617180039,gwint_card_crone_weavess
Monsters,Crone: Whispess,https://vignette.wikia.nocookie.net/witcher/images/2/2c/Tw3_gwent_card_crone_Whispess.png/revision/latest?cb=20160320065648,gwint_card_crone_whispess
Nilfgaard,Cynthia,https://vignette.wikia.nocookie.net/witcher/images/5/52/Tw3_gwent_card_face_Cynthia.png/revision/latest?cb=20160428131911,gwint_card_cynthia
Neutral,Dandelion,https://vignette.wikia.nocookie.net/witcher/images/5/5d/Tw3_gwent_card_face_Dandelion.png/revision/latest?cb=20151026180600,gwint_card_dandelion
Neutral,Decoy,https://vignette.wikia.nocookie.net/witcher/images/9/92/Tw3_gwent_card_face_Decoy.png/revision/latest?cb=20151026180937,gwint_card_dummy
Scoia'tael,Dennis Cranmer,https://vignette.wikia.nocookie.net/witcher/images/9/94/Tw3_gwent_card_face_Dennis_Cranmer.png/revision/latest?cb=20160624125840,gwint_card_dennis
Northern Realms,Dethmold,https://vignette.wikia.nocookie.net/witcher/images/4/4a/Tw3_gwent_card_face_Dethmold.png/revision/latest?cb=20160320093015,gwint_card_dethmold
Scoia'tael,Dol Blathanna Archer,https://vignette.wikia.nocookie.net/witcher/images/b/bc/Tw3_gwent_card_face_Dol_Blathanna_Archer.png/revision/latest?cb=20160624125901,gwint_card_dol_archer
Scoia'tael,Dol Blathanna Scout (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/b/b8/Tw3_gwent_card_face_Dol_Blathanna_Scout_3.png/revision/latest?cb=20160624130032,gwint_card_dol_infantry
Scoia'tael,Dol Blathanna Scout (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/2/2d/Tw3_gwent_card_face_Dol_Blathanna_Scout_2.png/revision/latest?cb=20160624125954,gwint_card_dol_infantry2
Scoia'tael,Dol Blathanna Scout (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/f/f2/Tw3_gwent_card_face_Dol_Blathanna_Scout_1.png/revision/latest?cb=20160624125931,gwint_card_dol_infantry3
Monsters,Draug,https://vignette.wikia.nocookie.net/witcher/images/4/40/Tw3_gwent_card_face_Draug.png/revision/latest?cb=20160425165333,gwint_card_draug
Northern Realms,Dun Banner Medic,https://vignette.wikia.nocookie.net/witcher/images/f/fe/Tw3_gwent_card_face_Dun_Banner_Medic.png/revision/latest?cb=20160320090836,gwint_card_dun_banner_medic
Scoia'tael,Dwarven Skirmisher (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/4/41/Tw3_gwent_card_face_Dwarevn_Skirmisher_1.png/revision/latest?cb=20160624130056,gwint_card_dol_dwarf
Scoia'tael,Dwarven Skirmisher (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/f/fd/Tw3_gwent_card_face_Dwarevn_Skirmisher_2.png/revision/latest?cb=20160624130118,gwint_card_dol_dwarf2
Scoia'tael,Dwarven Skirmisher (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/2/20/Tw3_gwent_card_face_Dwarevn_Skirmisher_3.png/revision/latest?cb=20160624130152,gwint_card_dol_dwarf3
Monsters,Earth Elemental,https://vignette.wikia.nocookie.net/witcher/images/3/3f/Tw3_gwent_card_face_Earth_Elemental.png/revision/latest?cb=20160425170118,gwint_card_earth_elemental
Scoia'tael,Eithné,https://vignette.wikia.nocookie.net/witcher/images/c/ce/Tw3_gwent_card_face_Eithne.png/revision/latest?cb=20160624130437,gwint_card_eithne
Scoia'tael,Elven Skirmisher (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/2/21/Tw3_gwent_card_face_Elven_Skirmisher_3.png/revision/latest?cb=20180415223214,gwint_card_elf_skirmisher
Scoia'tael,Elven Skirmisher (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/e/eb/Tw3_gwent_card_face_Elven_Skirmisher_1.png/revision/latest?cb=20160624130505,gwint_card_elf_skirmisher2
Scoia'tael,Elven Skirmisher (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/9/96/Tw3_gwent_card_face_Elven_Skirmisher_2.png/revision/latest?cb=20160624130527,gwint_card_elf_skirmisher3
Nilfgaard,Emhyr var Emreis: Emperor of Nilfgaard,https://vignette.wikia.nocookie.net/witcher/images/1/1c/Tw3_gwent_card_face_Emhyr_var_Emreis_Emperor_of_Nilfgaard.png/revision/latest?cb=20160630124904,gwint_card_emhyr_bronze
Nilfgaard,Emhyr var Emreis: His Imperial Majesty,https://vignette.wikia.nocookie.net/witcher/images/f/fa/Tw3_gwent_card_face_Emhyr_var_Emreis_His_Imperial_Majesty.png/revision/latest?cb=20160630125149,gwint_card_emhyr_copper
Nilfgaard,Emhyr var Emreis: The Relentless,https://vignette.wikia.nocookie.net/witcher/images/9/9d/Tw3_gwent_card_face_Emhyr_var_Emreis_the_Relentless.png/revision/latest?cb=20160630125422,gwint_card_emhyr_gold
Nilfgaard,Emhyr var Emreis: The White Flame,https://vignette.wikia.nocookie.net/witcher/images/7/77/Tw3_gwent_card_face_Emhyr_var_Emreis_the_White_Flame.png/revision/latest?cb=20180415175629,gwint_card_emhyr_silver
Neutral,Emiel Regis Rohellec Terzieff,https://vignette.wikia.nocookie.net/witcher/images/0/0a/Tw3_gwent_card_face_Emiel_Regis.png/revision/latest?cb=20160617183243,gwint_card_emiel
Monsters,Endrega,https://vignette.wikia.nocookie.net/witcher/images/b/b5/Tw3_gwent_card_face_Endrega.png/revision/latest?cb=20160417184716,gwint_card_endrega
Monsters,Eredin: Bringer of Death,https://vignette.wikia.nocookie.net/witcher/images/f/fd/Tw3_gwent_card_face_Eredin_Bringer_of_Death.png/revision/latest?cb=20160617173157,gwint_card_eredin_gold
Monsters,Eredin: Commander of the Red Riders,https://vignette.wikia.nocookie.net/witcher/images/4/43/Tw3_gwent_card_face_Eredin_Commander_of_the_Red_Riders.png/revision/latest?cb=20160425145454,gwint_card_eredin_bronze
Monsters,Eredin: Destroyer of Worlds,https://vignette.wikia.nocookie.net/witcher/images/1/17/Tw3_gwent_card_face_Eredin_Destroyer_of_Worlds.png/revision/latest?cb=20160425151424,gwint_card_eredin_silver
Monsters,Eredin: King of the Wild Hunt,https://vignette.wikia.nocookie.net/witcher/images/b/b6/Tw3_gwent_card_face_Eredin_King_of_the_Wild_Hunt.png/revision/latest?cb=20180415175535,gwint_card_eredin_copper
Northern Realms,Esterad Thyssen,https://vignette.wikia.nocookie.net/witcher/images/7/7d/Tw3_gwent_card_face_Esterad_Thyssen.png/revision/latest?cb=20160320093527,gwint_card_esterad
Nilfgaard,Etolian Auxiliary Archers (1 of 2),https://vignette.wikia.nocookie.net/witcher/images/6/64/Tw3_gwent_card_face_Etolian_Auxiliary_Archers_1.png/revision/latest?cb=20160630125524,gwint_card_archer_support
Nilfgaard,Etolian Auxiliary Archers (2 of 2),https://vignette.wikia.nocookie.net/witcher/images/b/bb/Tw3_gwent_card_face_Etolian_Auxiliary_Archers_2.png/revision/latest?cb=20160630125558,gwint_card_archer_support2
Monsters,Fiend,https://vignette.wikia.nocookie.net/witcher/images/5/52/Tw3_gwent_card_face_Fiend.png/revision/latest?cb=20160425164718,gwint_card_fiend
Scoia'tael,Filavandrel aen Fidhail,https://vignette.wikia.nocookie.net/witcher/images/0/02/Tw3_gwent_card_face_Filavandrel_aen_Fidhail.png/revision/latest?cb=20160624151912,gwint_card_filavandrel
Monsters,Fire Elemental,https://vignette.wikia.nocookie.net/witcher/images/a/ae/Tw3_gwent_card_face_Fire_Elemental.png/revision/latest?cb=20160425174944,gwint_card_fire_elemental
Monsters,Foglet,https://vignette.wikia.nocookie.net/witcher/images/2/21/Tw3_gwent_card_face_Foglet.png/revision/latest?cb=20160425170541,gwint_card_fogling
Northern Realms,Foltest: King of Temeria,https://vignette.wikia.nocookie.net/witcher/images/b/ba/Tw3_gwent_card_face_Foltest_King_of_Temeria.png/revision/latest?cb=20160320082442,gwint_card_foltest_copper
Northern Realms,Foltest: Lord Commander of the North,https://vignette.wikia.nocookie.net/witcher/images/7/7e/Tw3_gwent_card_face_Foltest_Lord_Commander_of_the_North.png/revision/latest?cb=20160320083102,gwint_card_foltest_bronze
Northern Realms,Foltest: The Siegemaster,https://vignette.wikia.nocookie.net/witcher/images/8/80/Tw3_gwent_card_face_Foltest_the_Siegemaster.png/revision/latest?cb=20160617173724,gwint_card_foltest_silver
Northern Realms,Foltest: The Steel-Forged,https://vignette.wikia.nocookie.net/witcher/images/a/ae/Tw3_gwent_card_face_Foltest_the_Steel-Forged.png/revision/latest?cb=20160320083847,gwint_card_foltest_gold
Monsters,Forktail,https://vignette.wikia.nocookie.net/witcher/images/b/bf/Tw3_gwent_card_face_Forktail.png/revision/latest?cb=20160425175417,gwint_card_forktail
Scoia'tael,Francesca Findabair: Daisy of the Valley,https://vignette.wikia.nocookie.net/witcher/images/b/bb/Tw3_gwent_card_face_Francesca_Findabair_Daisy_of_the_Valley.png/revision/latest?cb=20180415043326,gwint_card_francesca_bronze
Scoia'tael,Francesca Findabair: Pureblood Elf,https://vignette.wikia.nocookie.net/witcher/images/1/1b/Tw3_gwent_card_face_Francesca_Findabair_Pureblood_Elf.png/revision/latest?cb=20180415043140,gwint_card_francesca_copper
Scoia'tael,Francesca Findabair: Queen of Dol Blathanna,https://vignette.wikia.nocookie.net/witcher/images/b/b1/Tw3_gwent_card_face_Francesca_Findabair_Queen_of_Dol_Blathanna.png/revision/latest?cb=20180415043422,gwint_card_francesca_gold
Scoia'tael,Francesca Findabair: The Beautiful,https://vignette.wikia.nocookie.net/witcher/images/f/f1/Tw3_gwent_card_face_Francesca_Findabair_the_Beautiful.png/revision/latest?cb=20180415043241,gwint_card_francesca_silver
Monsters,Frightener,https://vignette.wikia.nocookie.net/witcher/images/f/f8/Tw3_gwent_card_face_Frightener.png/revision/latest?cb=20160425175858,gwint_card_frightener
Nilfgaard,Fringilla Vigo,https://vignette.wikia.nocookie.net/witcher/images/8/83/Tw3_gwent_card_face_Fringilla_Vigo.png/revision/latest?cb=20160416164700,gwint_card_fringilla
Monsters,Gargoyle,https://vignette.wikia.nocookie.net/witcher/images/6/6e/Tw3_gwent_card_face_Gargoyle.png/revision/latest?cb=20160425180126,gwint_card_gargoyle
Neutral,Geralt of Rivia,https://vignette.wikia.nocookie.net/witcher/images/a/a6/Tw3_gwent_card_face_Geralt.png/revision/latest?cb=20151026181409,gwint_card_geralt
Monsters,Ghoul (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/7/76/Tw3_gwent_card_face_Ghoul_3.png/revision/latest?cb=20160425180654,gwint_card_ghoul
Monsters,Ghoul (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/0/09/Tw3_gwent_card_face_Ghoul_1.png/revision/latest?cb=20160425180654,gwint_card_ghoul2
Monsters,Ghoul (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/0/03/Tw3_gwent_card_face_Ghoul_2.png/revision/latest?cb=20160425180654,gwint_card_ghoul3
Monsters,Grave Hag,https://vignette.wikia.nocookie.net/witcher/images/6/64/Tw3_gwent_card_face_Grave_Hag.png/revision/latest?cb=20160425181214,gwint_card_grave_hag
Monsters,Griffin,https://vignette.wikia.nocookie.net/witcher/images/6/61/Tw3_gwent_card_face_Griffin.png/revision/latest?cb=20160425181505,gwint_card_griffin
Monsters,Harpy,https://vignette.wikia.nocookie.net/witcher/images/e/e1/Tw3_gwent_card_face_Harpy.png/revision/latest?cb=20160415131903,gwint_card_harpy
Scoia'tael,Havekar Healer (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/5/5c/Tw3_gwent_card_face_Havekar_Healer_3.png/revision/latest?cb=20160624161050,gwint_card_havekar_nurse
Scoia'tael,Havekar Healer (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/4/4f/Tw3_gwent_card_face_Havekar_Healer_2.png/revision/latest?cb=20160624161017,gwint_card_havekar_nurse2
Scoia'tael,Havekar Healer (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/f/fc/Tw3_gwent_card_face_Havekar_Healer_1.png/revision/latest?cb=20160624160733,gwint_card_havekar_nurse3
Scoia'tael,Havekar Smuggler (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/b/ba/Tw3_gwent_card_face_Havekar_Smuggler_3.png/revision/latest?cb=20160624161245,gwint_card_havekar_support
Scoia'tael,Havekar Smuggler (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/9/98/Tw3_gwent_card_face_Havekar_Smuggler_2.png/revision/latest?cb=20160624161155,gwint_card_havekar_support2
Scoia'tael,Havekar Smuggler (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/f/fa/Tw3_gwent_card_face_Havekar_Smuggler_1.png/revision/latest?cb=20160624161135,gwint_card_havekar_support3
Nilfgaard,Heavy Zerrikanian Fire Scorpion,https://vignette.wikia.nocookie.net/witcher/images/7/73/Tw3_gwent_card_face_Heavy_Zerrikanian_Fire_Scorpion.png/revision/latest?cb=20160630130011,gwint_card_heavy_zerri
Monsters,Ice Giant,https://vignette.wikia.nocookie.net/witcher/images/f/f1/Tw3_gwent_card_face_Ice_Giant.png/revision/latest?cb=20180415221456,gwint_card_ice_giant
Scoia'tael,Ida Emean aep Sivney,https://vignette.wikia.nocookie.net/witcher/images/8/84/Tw3_gwent_card_face_Ida_Emean_aep_Sivney.png/revision/latest?cb=20160410063004,gwint_card_ida
Monsters,Imlerith,https://vignette.wikia.nocookie.net/witcher/images/3/3b/Tw3_gwent_card_face_Imlerith.png/revision/latest?cb=20160425181855,gwint_card_imlerith
Neutral,Impenetrable Fog,https://vignette.wikia.nocookie.net/witcher/images/8/8a/Tw3_gwent_card_face_Impenetrable_Fog.png/revision/latest?cb=20151026181625,gwint_card_fog
Nilfgaard,Impera Brigade Guard (1 of 4),https://vignette.wikia.nocookie.net/witcher/images/0/04/Tw3_gwent_card_face_Impera_Brigade_Guard_1.png/revision/latest?cb=20160630130123,gwint_card_impera_brigade
Nilfgaard,Impera Brigade Guard (2 of 4),https://vignette.wikia.nocookie.net/witcher/images/0/04/Tw3_gwent_card_face_Impera_Brigade_Guard_1.png/revision/latest?cb=20160630130123,gwint_card_impera_brigade2
Nilfgaard,Impera Brigade Guard (3 of 4),https://vignette.wikia.nocookie.net/witcher/images/0/04/Tw3_gwent_card_face_Impera_Brigade_Guard_1.png/revision/latest?cb=20160630130123,gwint_card_impera_brigade3
Nilfgaard,Impera Brigade Guard (4 of 4),https://vignette.wikia.nocookie.net/witcher/images/0/04/Tw3_gwent_card_face_Impera_Brigade_Guard_1.png/revision/latest?cb=20160630130123,gwint_card_impera_brigade4
Scoia'tael,Iorveth,https://vignette.wikia.nocookie.net/witcher/images/7/78/Tw3_gwent_card_face_Iorveth.png/revision/latest?cb=20160624161406,gwint_card_iorveth
Scoia'tael,Isengrim Faoiltiarna,https://vignette.wikia.nocookie.net/witcher/images/a/a3/Tw3_gwent_card_face_Isengrim_Faoiltiarna.png/revision/latest?cb=20160425211256,gwint_card_isengrim
Northern Realms,John Natalis,https://vignette.wikia.nocookie.net/witcher/images/2/28/Tw3_gwent_card_face_John_Natalis.png/revision/latest?cb=20160320093818,gwint_card_natalis
Northern Realms,Kaedweni Siege Expert (1 of 3),https://vignette.wikia.nocookie.net/witcher/images/3/38/Tw3_gwent_card_face_Kaedweni_Siege_Expert_1.png/revision/latest?cb=20160320092015,gwint_card_kaedwen_siege
Northern Realms,Kaedweni Siege Expert (2 of 3),https://vignette.wikia.nocookie.net/witcher/images/3/38/Tw3_gwent_card_face_Kaedweni_Siege_Expert_1.png/revision/latest?cb=20160320092015,gwint_card_kaedwen_siege2
Northern Realms,Kaedweni Siege Expert (3 of 3),https://vignette.wikia.nocookie.net/witcher/images/3/38/Tw3_gwent_card_face_Kaedweni_Siege_Expert_1.png/revision/latest?cb=20160320092015,gwint_card_kaedwen_siege3
Monsters,Kayran,https://vignette.wikia.nocookie.net/witcher/images/4/48/Tw3_gwent_card_face_Kayran.png/revision/latest?cb=20160425182605,gwint_card_kayran
Northern Realms,Keira Metz,https://vignette.wikia.nocookie.net/witcher/images/1/14/Tw3_gwent_card_face_Keira_Metz.png/revision/latest?cb=20160320094012,gwint_card_keira
Monsters,Leshen,https://vignette.wikia.nocookie.net/witcher/images/8/86/Tw3_gwent_card_face_Leshen.png/revision/latest?cb=20160425183417,gwint_card_leshen
Nilfgaard,Letho of Gulet,https://vignette.wikia.nocookie.net/witcher/images/d/de/Tw3_gwent_card_face_Letho_of_Gulet.png/revision/latest?cb=20160320210606,gwint_card_letho
Scoia'tael,Mahakaman Defender (1 of 5),https://vignette.wikia.nocookie.net/witcher/images/c/cd/Tw3_gwent_card_face_Mahakaman_Defender_1.png/revision/latest?cb=20160624161815,gwint_card_mahakam
Scoia'tael,Mahakaman Defender (2 of 5),https://vignette.wikia.nocookie.net/witcher/images/3/3c/Tw3_gwent_card_face_Mahakaman_Defender_5.png/revision/latest?cb=20160624162315,gwint_card_mahakam2
Scoia'tael,Mahakaman Defender (3 of 5),https://vignette.wikia.nocookie.net/witcher/images/6/65/Tw3_gwent_card_face_Mahakaman_Defender_4.png/revision/latest?cb=20160624162248,gwint_card_mahakam3
